Date,open,high,low,Close,adj_close,volume_shares
2021-03-05,62.456665,66.503334,62.060001,65.456665,63.33139,97595727
2021-03-08,65.456665,65.776665,58.91,58.91,56.997288,177398469
2021-03-09,57.470001,59.533333,54.009998,56.893333,55.046097,179761485
2021-03-10,60.0,60.626667,58.593334,59.063332,57.145638,129452151
2021-03-11,58.983334,61.666664,58.033333,60.990002,59.009758,110348370
2021-03-12,62.056667,62.663334,59.633331,60.560001,58.593712,90554466
2021-03-15,59.516666,60.333332,57.333332,58.086666,56.200684,88680717
2021-03-16,59.193333,59.700001,57.790001,58.823334,56.913433,59116920
2021-03-17,58.006664,59.990002,57.16,58.959999,57.045662,64111584
2021-03-18,59.596664,60.209999,59.093334,59.516666,57.584255,60319311
2021-03-19,57.666664,58.456665,56.553333,57.049999,55.197674,77468166
2021-03-22,57.443333,58.493332,56.669998,57.933334,56.052334,55704873
2021-03-23,58.599998,58.726665,55.433334,56.323334,54.494602,67994691
2021-03-24,55.996666,56.413334,54.0,54.246666,52.485363,74480790
2021-03-25,52.333332,54.483334,51.866665,53.733334,51.988697,76857192
2021-03-26,54.336666,57.333332,54.299999,56.996666,55.146076,98559096
2021-03-29,56.669998,56.826668,54.933334,56.033333,54.214016,70418592
2021-03-30,53.666664,56.333332,53.033333,56.333332,54.50428,101679270
2021-03-31,56.403332,57.546665,54.186665,54.836666,53.056206,81045909
2021-04-01,56.0,57.299999,55.669998,56.356667,54.526855,89987340
2021-04-02,56.996666,59.400002,56.193333,58.623333,56.719929,104859600
2021-04-06,58.933334,59.746666,57.599998,58.696667,56.790878,76772955
2021-04-07,59.049999,59.360001,56.5,56.996666,55.146076,84511050
2021-04-08,56.333332,57.166664,55.706665,56.826668,54.981598,48012918
2021-04-09,57.299999,57.366665,55.333332,55.573334,53.768955,61498731
2021-04-12,55.576668,56.463333,54.200001,54.486668,52.717571,60380400
2021-04-13,54.493332,55.876667,54.493332,54.669998,52.894955,47028882
